Matrikkel / Org-Anr,Address,Housing type,Primary room,Usable area,Gross area,Year of construction,Floor,Plot size,Last sold,Price,Joint debt at last sale,Total price at last sale,Number of rooms,Number of bedrooms,Registered date,Turnover rate,Broker,Postal code,Area name,Days since first sold,Broker encoded,Housing type encoded,Balcony_Yes,Parking_Yes,Lat,Lon
951497762/29,"Karolinerveien 8 B, 7021 TRONDHEIM",Borettslagsleilighet,34,34,37,1967.0,4,4474.9,2021-06-08,2300000,174388.0,2474388,2,1,2021-06-01,7,Meglerhuset Nylander,7021,TRONDHEIM,100,7,3,0,0,63.4105,10.3646
954872416/59,"Edgar B. Schieldrops veg 6 C, 7033 TRONDHEIM",Borettslagsleilighet,64,64,70,1973.0,2,56058.1,2021-06-08,2850000,312948.0,3162948,2,2,2021-06-01,7,Meglerhuset Nylander,7033,TRONDHEIM,100,7,3,1,1,63.4022,10.4305
5001-412/408/0/2,"Julianus Holms veg 64, 7041 TRONDHEIM",Selveierleilighet,45,49,49,2015.0,1,4721.5,2021-06-09,3400000,0.0,3400000,2,1,2021-06-02,7,Eiendomsmegler 1,7041,TRONDHEIM,101,3,7,1,0,63.4449,10.4454
5001-49/307/0/50,"Øvre Granåslia 7, 7047 TRONDHEIM",Selveierleilighet,38,53,58,2018.0,1,5974.8,2021-06-09,2790000,0.0,2790000,2,1,2021-05-31,9,DNB Eiendom,7047,TRONDHEIM,101,1,7,1,0,63.4204,10.4708
5001-423/281/0/1,"Møllebakken 30, 7020 TRONDHEIM",Selveierleilighet,93,93,101,1952.0,1,1277.8,2021-06-09,5300000,0.0,5300000,4,3,2021-05-27,13,Privatmegleren,7020,TRONDHEIM,101,9,7,1,0,63.4194,10.3541
990565090/18,"Bratsbergvegen 110, 7036 TRONDHEIM",Borettslagsleilighet,62,68,73,2007.0,2,10509.9,2021-06-09,1650000,999593.0,2649593,3,1,2021-05-31,9,Proaktiv,7036,TRONDHEIM,101,10,3,0,0,63.3909,10.4281
5001-97/410/0/0,"Storhaugstien 15 A, 7022 TRONDHEIM",Selveier enebolig,184,227,237,1966.0,0,824.3,2021-06-09,9300000,0.0,9300000,4,3,2021-06-09,0,Eiendomsmegler 1,7022,TRONDHEIM,101,3,4,0,0,63.4018,10.361
5001-103/644/0/2,"General Bangs veg 22, 7023 TRONDHEIM",Selveier tomannsbolig,110,110,119,1958.0,2,1052.0,2021-06-09,3550000,0.0,3550000,3,2,2021-05-28,12,EIE Eiendomsmegling,7023,TRONDHEIM,101,2,6,1,0,63.3966,10.3642
5001-411/202/0/15,"Lademoens Kirkealle 6, 7067 TRONDHEIM",Selveierleilighet,45,45,45,1939.0,2,782.6,2021-06-09,2550000,26357.0,2576357,2,1,2021-06-02,7,Meglerhuset Nylander,7067,TRONDHEIM,101,7,7,1,0,63.438,10.4277
961281504/4,"Haldens gate 12, 7014 TRONDHEIM",Borettslagsleilighet,46,46,52,1913.0,2,424.1,2021-06-09,2920000,60988.0,2980988,2,1,2021-05-28,12,Heimdal Eiendomsmegling,7014,TRONDHEIM,101,4,3,1,0,63.4303,10.4094
5001-70/175/0/0,"Mjølnervegen 6 A, 7035 TRONDHEIM",Selveier enebolig,130,147,159,2021.0,0,435.9,2021-06-09,6250000,0.0,6250000,5,4,2021-06-09,0,Other,7035,TRONDHEIM,101,8,4,1,0,63.4044,10.4198
5001-58/99/0/4,"Kong Inges gate 28, 7052 TRONDHEIM",Selveierleilighet,87,87,94,1934.0,2,1073.3,2021-06-09,5350000,0.0,5350000,3,2,2021-03-18,83,Meglerhuset Nylander,7052,TRONDHEIM,101,7,7,1,1,63.4225,10.4239
5001-414/397/0/14,"Håkon Magnussons gate 1 C, 7041 TRONDHEIM",Selveierleilighet,45,51,55,2006.0,1,10063.0,2021-06-09,2600000,0.0,2600000,2,1,2021-05-28,12,Heimdal Eiendomsmegling,7041,TRONDHEIM,101,4,7,0,0,63.4449,10.4454
991677356/8,"Biskop Sigurds gate 8 A, 7067 TRONDHEIM",Borettslagsleilighet,48,48,54,1905.0,3,510.5,2021-06-09,2325000,445628.0,2770628,2,1,2021-05-31,9,Eiendomsmegler 1,7067,TRONDHEIM,101,3,3,0,0,63.438,10.4277
964484910/19,"Nyheimsvegen 21 C, 7058 CHARLOTTENLUND",Borettslagsleilighet,70,70,76,1960.0,3,3385.5,2021-06-09,2850000,200043.0,3050043,3,2,2021-05-28,12,Eiendomsmegler 1,7058,CHARLOTTENLUND,101,3,3,1,0,63.4239,10.4927
5001-17/804/0/12,"Anton Jenssens veg 13 A, 7053 RANHEIM",Selveierleilighet,89,93,102,2008.0,1,2616.3,2021-06-09,4250000,0.0,4250000,3,3,2021-06-02,7,Eiendomsmegler 1,7053,RANHEIM,101,3,7,1,0,63.4322,10.5095
5001-520/289/0/0,"Valstadmyrvegen 7 C, 7540 KLÆBU",Selveier rekkehus,111,116,126,1976.0,0,182.0,2021-06-09,3590000,97000.0,3687000,4,3,2021-06-01,8,Meglerhuset Nylander,7540,KLÆBU,101,7,5,1,0,63.2976,10.4826
5001-17/626/0/0,"Nyheimsvegen 13 C, 7058 CHARLOTTENLUND",Selveier enebolig,154,188,213,1990.0,0,532.3,2021-06-09,6600000,0.0,6600000,4,3,2021-05-28,12,Heimdal Eiendomsmegling,7058,CHARLOTTENLUND,101,4,4,1,0,63.4239,10.4927
5001-17/447/0/0,"Granvegen 16 B, 7058 CHARLOTTENLUND",Selveier enebolig,205,228,250,1975.0,0,828.1,2021-06-09,9050000,0.0,9050000,4,5,2021-05-29,11,Proaktiv,7058,CHARLOTTENLUND,101,10,4,1,0,63.4239,10.4927
5001-400/97/0/4,"Erling Skakkes gate 2 B, 7013 TRONDHEIM",Selveierleilighet,47,47,56,1883.0,1,445.4,2021-06-09,3250000,19834.0,3269834,2,1,2021-06-01,8,Meglerhuset Nylander,7013,TRONDHEIM,101,7,7,0,0,63.429,10.3967
5001-323/1953/0/0,"Tonstadbrinken 16 C, 7091 TILLER",Selveier enebolig,197,230,253,1991.0,0,566.1,2021-06-09,6100000,0.0,6100000,6,5,2021-05-29,11,EIE Eiendomsmegling,7091,TILLER,101,2,4,1,0,63.3619,10.3898
984829205/11,"Østmarkveien 7, 7040 TRONDHEIM",Borettslagsleilighet,71,75,82,2001.0,1,3528.8,2021-06-09,2710000,322616.0,3032616,3,2,2021-06-01,8,Krogsveen,7040,TRONDHEIM,101,5,3,0,0,63.4504,10.4456
5001-421/315/0/13,"Osloveien 6, 7017 TRONDHEIM",Selveierleilighet,133,133,138,1905.0,4,1336.3,2021-06-09,5700000,0.0,5700000,3,2,2021-06-09,0,Other,7017,TRONDHEIM,101,8,7,0,0,63.4255,10.3705
5001-403/34/0/5,"Erling Skakkes gate 39, 7012 TRONDHEIM",Selveierleilighet,51,52,56,1930.0,3,113.1,2021-06-09,3850000,0.0,3850000,3,2,2021-05-29,11,Eiendomsmegler 1,7012,TRONDHEIM,101,3,7,1,0,63.43,10.387
5001-421/205/0/2,"Bryns vei 9 B, 7017 TRONDHEIM",Selveier tomannsbolig,114,114,123,1939.0,2,858.0,2021-06-09,5100000,0.0,5100000,1,3,2021-06-01,8,Eiendomsmegler 1,7017,TRONDHEIM,101,3,6,0,0,63.4255,10.3705
5001-29/150/0/34,"Solveig Abrahamsens veg 18, 7054 RANHEIM",Selveierleilighet,43,47,52,2018.0,1,2975.0,2021-06-09,2650000,0.0,2650000,2,1,2021-05-28,12,Heimdal Eiendomsmegling,7054,RANHEIM,101,4,7,1,0,63.4215,10.5451
5001-103/426/0/0,"Bragstads veg 20, 7071 TRONDHEIM",Selveier enebolig,230,290,308,1974.0,0,811.2,2021-06-09,7600000,0.0,7600000,4,3,2021-06-09,0,Other,7071,TRONDHEIM,101,8,4,1,0,63.3989,10.3325
952254308/38,"Myrmannsvegen 14, 7088 HEIMDAL",Borettslagsleilighet,43,43,47,1971.0,3,28301.1,2021-06-09,2190000,56003.0,2246003,2,1,2021-05-26,14,Eiendomsmegler 1,7088,HEIMDAL,101,3,3,1,0,63.3561,10.348
5001-177/210/0/0,"John P. Kroglunds veg 28, 7088 HEIMDAL",Selveier enebolig,181,219,238,1981.0,0,616.7,2021-06-09,5500000,0.0,5500000,7,6,2021-05-26,14,Meglerhuset Nylander,7088,HEIMDAL,101,7,4,1,0,63.3561,10.348
5001-315/455/0/0,"Brudalsvegen 18 C, 7088 HEIMDAL",Selveier enebolig,148,157,171,1990.0,0,432.8,2021-06-09,5400000,0.0,5400000,6,5,2021-05-31,9,Proaktiv,7088,HEIMDAL,101,10,4,1,0,63.3561,10.348
5001-97/582/0/0,"Nordre Hallsetveg 23, 7023 TRONDHEIM",Selveier tomannsbolig,137,168,170,1969.0,0,717.9,2021-06-10,4775000,0.0,4775000,4,3,2021-03-04,98,DNB Eiendom,7023,TRONDHEIM,102,1,6,1,0,63.3966,10.3642
988713767/11,"Lægdgrinda 9, 7026 TRONDHEIM",Borettslagsleilighet,52,52,52,2005.0,3,2864.5,2021-06-10,1190000,738234.0,1928234,2,1,2021-06-02,8,Eiendomsmegler 1,7026,TRONDHEIM,102,3,3,0,0,63.3844,10.3288
948658909/225,"Odenseveien 15, 7020 TRONDHEIM",Borettslagsleilighet,63,63,67,1958.0,2,42651.8,2021-06-10,3100000,137491.0,3237491,3,2,2021-06-02,8,DNB Eiendom,7020,TRONDHEIM,102,1,3,0,0,63.4194,10.3541
5001-415/247/0/23,"Ladeveien 17, 7066 TRONDHEIM",Selveierleilighet,57,57,63,2018.0,4,876.8,2021-06-10,4100000,0.0,4100000,3,2,2021-06-02,8,Heimdal Eiendomsmegling,7066,TRONDHEIM,102,4,7,1,0,63.442,10.4367
5001-415/265/0/7,"Ladeveien 18, 7066 TRONDHEIM",Selveierleilighet,44,44,48,2020.0,1,2828.9,2021-06-10,3500000,0.0,3500000,3,2,2021-04-17,54,Proaktiv,7066,TRONDHEIM,102,10,7,1,0,63.442,10.4367
5001-316/55/0/1,"Vestre Rosten 56, 7072 HEIMDAL",Selveierleilighet,37,40,44,2016.0,1,2576.5,2021-06-10,2590000,2754.0,2592754,2,1,2021-06-01,9,Eiendomsmegler 1,7072,HEIMDAL,102,3,7,1,0,63.3517,10.365
5001-12/5/0/73,"Fernanda Nissens veg 22, 7045 TRONDHEIM",Selveierleilighet,40,68,68,2007.0,2,9014.5,2021-06-10,2800000,4381.0,2804381,2,1,2021-06-02,8,EIE Eiendomsmegling,7045,TRONDHEIM,102,2,7,1,0,63.4329,10.4497
990417032/36,"Kyavegen 10, 7045 TRONDHEIM",Borettslagsleilighet,37,37,45,1944.0,2,722.3,2021-06-10,1790000,530544.0,2320544,2,1,2021-06-01,9,Eiendomsmegler 1,7045,TRONDHEIM,102,3,3,0,0,63.4329,10.4497
5001-520/237/0/0,"Lauvåsvegen 13 A, 7540 KLÆBU",Selveier enebolig,148,213,236,1975.0,0,997.7,2021-06-10,4250000,0.0,4250000,5,4,2021-06-01,9,Krogsveen,7540,KLÆBU,102,5,4,0,0,63.2976,10.4826
5001-423/15/0/0,"Hyllveien 1 B, 7020 TRONDHEIM",Selveier tomannsbolig,166,209,234,1963.0,0,371.0,2021-06-10,6450000,0.0,6450000,5,4,2021-05-28,13,Eiendomsmegler 1,7020,TRONDHEIM,102,3,6,1,0,63.4194,10.3541
5001-12/140/0/0,"Dalkantvegen 8 A, 7045 TRONDHEIM",Selveier enebolig,205,217,217,1982.0,0,544.9,2021-06-10,7800000,0.0,7800000,5,4,2021-05-31,10,Heimdal Eiendomsmegling,7045,TRONDHEIM,102,4,4,1,0,63.4329,10.4497
5001-9/846/0/6,"Kyavegen 25 B, 7045 TRONDHEIM",Selveierleilighet,145,163,180,2006.0,1,763.8,2021-06-10,5900000,0.0,5900000,4,3,2021-05-14,27,Meglerhuset Nylander,7045,TRONDHEIM,102,7,7,1,0,63.4329,10.4497
5001-66/299/0/0,"Frydenbergvegen 1 B, 7050 TRONDHEIM",Selveier enebolig,148,204,204,1962.0,0,846.5,2021-06-10,7130000,0.0,7130000,4,3,2021-06-02,8,Meglerhuset Nylander,7050,TRONDHEIM,102,7,4,1,0,63.4124,10.4311
951498289/185,"Teglverkstunet 4 B, 7069 TRONDHEIM",Borettslagsleilighet,55,55,55,1974.0,2,42661.6,2021-06-10,2060000,117716.0,2177716,2,1,2021-06-03,7,DNB Eiendom,7069,TRONDHEIM,102,1,3,0,0,63.4154,10.4484
5001-104/732/0/4,"Arne Garborgs veg 45 D, 7071 TRONDHEIM",Selveierleilighet,130,148,167,1974.0,1,126.0,2021-06-10,5100000,0.0,5100000,4,3,2021-06-02,8,Privatmegleren,7071,TRONDHEIM,102,9,7,1,0,63.3989,10.3325
955784863/82,"Ole A. Wolds veg 4, 7069 TRONDHEIM",Borettslagsleilighet,77,77,82,1968.0,1,33536.4,2021-06-10,3150000,435572.0,3585572,1,2,2021-06-01,9,DNB Eiendom,7069,TRONDHEIM,102,1,3,1,1,63.4154,10.4484
991869204/14,"Lillian Byes veg 8, 7036 TRONDHEIM",Borettslagsleilighet,61,61,66,2007.0,1,2001.8,2021-06-10,3080000,0.0,3080000,2,2,2021-06-03,7,Proaktiv,7036,TRONDHEIM,102,10,3,0,0,63.3909,10.4281
948722585/58,"Karolinerveien 1 A, 7021 TRONDHEIM",Borettslagsleilighet,32,32,35,1967.0,4,44327.8,2021-06-10,2460000,18265.0,2478265,2,1,2021-06-02,8,Eiendomsmegler 1,7021,TRONDHEIM,102,3,3,1,1,63.4105,10.3646
5001-100/15/0/3,"Gammel-lina 57 B, 7028 TRONDHEIM",Selveierleilighet,81,81,81,1923.0,2,2846.3,2021-06-10,2200000,0.0,2200000,3,4,2021-05-14,27,Meglerhuset Nylander,7028,TRONDHEIM,102,7,7,0,0,63.388,10.3732
5001-17/363/0/0,"Nyheimsvegen 8 A, 7058 CHARLOTTENLUND",Selveier enebolig,153,218,218,1988.0,0,643.2,2021-06-10,6600000,0.0,6600000,4,3,2021-06-01,9,Eiendomsmegler 1,7058,CHARLOTTENLUND,102,3,4,0,0,63.4239,10.4927
5001-177/823/0/80,"Johan Arnt Høiseths veg 80, 7089 HEIMDAL",Selveier rekkehus,123,126,126,2019.0,0,15049.0,2021-06-10,4390000,0.0,4390000,5,4,2021-06-10,0,Other,7089,HEIMDAL,102,8,5,1,0,63.3539,10.3105
5001-320/147/0/2,"Okstadplassen 33 B, 7075 TILLER",Selveierleilighet,85,85,92,1995.0,2,2402.9,2021-06-10,3290000,6093.0,3296093,3,2,2021-05-27,14,Meglerhuset Nylander,7075,TILLER,102,7,7,1,0,63.3764,10.3839
948722585/58,"Karolinerveien 1 A, 7021 TRONDHEIM",Borettslagsleilighet,32,32,35,1967.0,4,44327.8,2021-06-10,2460000,18265.0,2478265,2,1,2021-06-02,8,Eiendomsmegler 1,7021,TRONDHEIM,102,3,3,1,1,63.4105,10.3646
5001-177/84/0/3,"Ringvålvegen 54, 7080 HEIMDAL",Selveierleilighet,83,87,87,2016.0,2,1006.9,2021-06-10,3600000,0.0,3600000,4,3,2021-05-26,15,Eiendomsmegler 1,7080,HEIMDAL,102,3,7,1,0,63.3477,10.3538
5001-409/87/0/17,"Nedre Bakklandet 58 B, 7014 TRONDHEIM",Selveierleilighet,38,41,46,2009.0,2,3774.7,2021-06-10,3150000,0.0,3150000,2,1,2021-06-03,7,EIE Eiendomsmegling,7014,TRONDHEIM,102,2,7,0,0,63.4303,10.4094
990000697/21,"Nedre Ila 5, 7018 TRONDHEIM",Borettslagsleilighet,42,48,52,2007.0,3,1133.8,2021-06-10,1920000,938797.0,2858797,2,1,2021-06-02,8,Privatmegleren,7018,TRONDHEIM,102,9,3,1,1,63.429,10.3682
5001-92/37/0/0,"Leirfossvegen 62, 7038 TRONDHEIM",Selveier enebolig,77,147,167,1962.0,0,2131.4,2021-06-10,3690000,0.0,3690000,4,3,2021-06-04,6,Meglerhuset Nylander,7038,TRONDHEIM,102,7,4,1,0,63.3864,10.401
5001-39/43/0/0,"Stokkåsen 17, 7059 JAKOBSLI",Selveier rekkehus,0,204,204,2021.0,0,258.3,2021-06-10,6995000,0.0,6995000,5,4,2021-06-10,0,Other,7059,JAKOBSLI,102,8,5,0,0,63.4186,10.4965
5001-77/4/0/0,"Bratsbergvegen 54, 7037 TRONDHEIM",Selveier enebolig,220,267,310,1948.0,0,2795.8,2021-06-10,6200000,0.0,6200000,7,6,2021-06-01,9,Proaktiv,7037,TRONDHEIM,102,10,4,1,0,63.3941,10.4113
5001-520/261/0/0,"Valstadmyrvegen 12 C, 7540 KLÆBU",Selveier rekkehus,104,108,115,1976.0,0,160.5,2021-06-10,3195000,0.0,3195000,3,3,2021-05-28,13,Heimdal Eiendomsmegling,7540,KLÆBU,102,4,5,1,0,63.2976,10.4826
5001-323/2432/0/1,"Løvaasveien 6, 7093 TILLER",Selveier tomannsbolig,74,74,80,2017.0,1,489.0,2021-06-10,3490000,0.0,3490000,4,3,2021-06-02,8,Heimdal Eiendomsmegling,7093,TILLER,102,4,6,1,0,63.3331,10.3669
948726017/54,"Torvmyra 107, 7091 TILLER",Borettslag enebolig,115,129,141,1981.0,0,16711.0,2021-06-10,3360000,435536.0,3795536,4,4,2021-06-02,8,Proaktiv,7091,TILLER,102,10,0,0,0,63.3619,10.3898
5001-411/166/0/1,"Bjørn Stallares gate 3, 7067 TRONDHEIM",Selveierleilighet,42,42,46,1912.0,1,854.1,2021-06-11,3270000,0.0,3270000,2,1,2021-06-02,9,DNB Eiendom,7067,TRONDHEIM,103,1,7,1,0,63.438,10.4277
986593403/8,"Prinsens gate 61, 7011 TRONDHEIM",Borettslagsleilighet,40,40,40,2004.0,3,2301.2,2021-06-11,2250000,440111.0,2690111,2,1,2021-06-05,6,Eiendomsmegler 1,7011,TRONDHEIM,103,3,3,0,0,63.4322,10.3965
5001-409/379/0/4,"Weidemanns vei 1 A, 7014 TRONDHEIM",Selveierleilighet,63,63,67,1899.0,2,650.3,2021-06-11,3650000,0.0,3650000,2,2,2021-04-28,44,Eiendomsmegler 1,7014,TRONDHEIM,103,3,7,1,0,63.4303,10.4094
948728249/56,"Husebyvegen 54 A, 7097 SAUPSTAD",Borettslag rekkehus,137,153,171,1975.0,0,31036.3,2021-06-11,3100000,210180.0,3310180,4,3,2021-06-03,8,Proaktiv,7097,SAUPSTAD,103,10,1,0,0,63.3666,10.3404
959286167/7,"Kirkegata 38, 7014 TRONDHEIM",Borettslagsleilighet,94,94,99,1904.0,3,298.5,2021-06-11,3875000,300718.0,4175718,3,3,2021-05-20,22,DNB Eiendom,7014,TRONDHEIM,103,1,3,0,0,63.4303,10.4094
5001-58/456/0/0,"Magnus Blindes veg 13 A, 7052 TRONDHEIM",Selveier enebolig,164,177,177,2021.0,0,304.3,2021-06-11,9800000,0.0,9800000,4,4,2021-06-11,0,Other,7052,TRONDHEIM,103,8,4,1,0,63.4225,10.4239
948718928/183,"Fagerliveien 31, 7020 TRONDHEIM",Borettslagsleilighet,93,96,104,1955.0,1,70475.6,2021-06-11,4250000,94925.0,4344925,2,3,2021-06-03,8,Eiendomsmegler 1,7020,TRONDHEIM,103,3,3,1,0,63.4194,10.3541
5001-411/221/0/9,"Hans Nielsen Hauges gate 10, 7067 TRONDHEIM",Selveierleilighet,47,47,52,1939.0,2,700.2,2021-06-11,2690000,0.0,2690000,2,1,2021-06-04,7,Eiendomsmegler 1,7067,TRONDHEIM,103,3,7,1,0,63.438,10.4277
5001-402/333/0/4,"Sandgata 17, 7012 TRONDHEIM",Selveierleilighet,78,78,85,1860.0,2,184.8,2021-06-11,4250000,0.0,4250000,4,3,2021-06-11,0,Eiendomsmegler 1,7012,TRONDHEIM,103,3,7,0,0,63.43,10.387
5001-78/367/0/10,"Rimfaksevegen 15, 7033 TRONDHEIM",Selveierleilighet,79,83,90,2015.0,2,1940.7,2021-06-11,3950000,0.0,3950000,3,2,2021-05-26,16,Heimdal Eiendomsmegling,7033,TRONDHEIM,103,4,7,0,0,63.4022,10.4305
5001-95/456/0/1,"Bøckmans veg 9 A, 7019 TRONDHEIM",Selveier tomannsbolig,93,98,107,2003.0,1,1032.0,2021-06-11,4100000,0.0,4100000,5,2,2021-06-03,8,Meglerhuset Nylander,7019,TRONDHEIM,103,7,6,1,0,63.41,10.3818
5028-124/45/0/0,"Fremovegen 842, 7540 KLÆBU",Selveier enebolig,174,204,222,1974.0,0,995.1,2021-06-11,3100000,0.0,3100000,4,3,2021-06-03,8,DNB Eiendom,7540,KLÆBU,103,1,4,1,0,63.2976,10.4826
5001-520/388/0/4,"Lauvåsbakken 12, 7540 KLÆBU",Selveier tomannsbolig,100,111,111,2021.0,0,2528.0,2021-06-11,3990000,0.0,3990000,3,3,2021-06-11,0,Other,7540,KLÆBU,103,8,6,1,0,63.2976,10.4826
990958645/13,"Nedre Ila 9 B, 7018 TRONDHEIM",Borettslagsleilighet,68,68,74,2007.0,3,603.9,2021-06-11,1980000,1468320.0,3448320,3,2,2021-04-07,65,Privatmegleren,7018,TRONDHEIM,103,9,3,1,1,63.429,10.3682
5001-402/234/0/13,"Dronningens gate 64, 7012 TRONDHEIM",Selveierleilighet,35,35,38,1842.0,3,519.2,2021-06-11,2500000,65151.0,2565151,2,1,2021-06-02,9,Eiendomsmegler 1,7012,TRONDHEIM,103,3,7,0,0,63.43,10.387
5001-276/35/0/0,"Vorsetvegen 9, 7070 BOSBERG",Selveier enebolig,136,140,140,2003.0,0,530.7,2021-06-11,3950000,0.0,3950000,5,4,2021-05-03,39,Meglerhuset Nylander,7070,BOSBERG,103,7,4,1,0,63.42259,10.14925
948924781/61,"Balders veg 4 B, 7033 TRONDHEIM",Borettslagsleilighet,31,31,34,1965.0,2,964.5,2021-06-11,1750000,139855.0,1889855,1,0,2021-06-03,8,Eiendomsmegler 1,7033,TRONDHEIM,103,3,3,0,0,63.4022,10.4305
5001-412/341/0/2,"Olav Engelbrektssons alle 75, 7040 TRONDHEIM",Selveier tomannsbolig,74,87,132,1954.0,2,734.0,2021-06-11,4125000,0.0,4125000,3,2,2021-05-25,17,Heimdal Eiendomsmegling,7040,TRONDHEIM,103,4,6,0,0,63.4504,10.4456
5001-12/197/0/0,"Gartnerivegen 4 B, 7045 TRONDHEIM",Selveier enebolig,129,207,228,1997.0,0,359.1,2021-06-11,6990000,0.0,6990000,4,3,2021-05-21,21,Eiendomsmegler 1,7045,TRONDHEIM,103,3,4,1,0,63.4329,10.4497
948720353/2,"Stadsing Dahls gate 2, 7015 TRONDHEIM",Borettslagsleilighet,42,47,52,1948.0,1,1870.2,2021-06-11,2700000,57706.0,2757706,2,1,2021-06-03,8,DNB Eiendom,7015,TRONDHEIM,103,1,3,0,0,63.4288,10.4221
955784863/5,"Henrik Ourens veg 21, 7069 TRONDHEIM",Borettslagsleilighet,76,76,76,1969.0,2,33536.4,2021-06-11,3500000,435571.0,3935571,3,2,2021-06-02,9,DNB Eiendom,7069,TRONDHEIM,103,1,3,0,0,63.4154,10.4484
5001-104/607/0/0,"Odd Husbys veg 23 B, 7024 TRONDHEIM",Selveier tomannsbolig,96,220,220,1966.0,0,599.5,2021-06-11,4500000,0.0,4500000,4,3,2021-05-25,17,Eiendomsmegler 1,7024,TRONDHEIM,103,3,6,1,0,63.3957,10.3237
5001-410/37/0/4,"Wessels gate 5 A, 7043 TRONDHEIM",Selveierleilighet,48,48,54,1892.0,2,679.2,2021-06-11,2600000,28016.0,2628016,2,2,2021-05-05,37,EIE Eiendomsmegling,7043,TRONDHEIM,103,2,7,0,0,63.433,10.4219
5001-96/625/0/16,"Gjørtlervegen 1 A, 7021 TRONDHEIM",Selveierleilighet,40,40,40,2007.0,1,6752.1,2021-06-11,2680000,9848.0,2689848,3,1,2021-06-03,8,Eiendomsmegler 1,7021,TRONDHEIM,103,3,7,1,0,63.4105,10.3646
5001-315/24/0/8,"Søbstadvegen 29, 7088 HEIMDAL",Selveierleilighet,77,80,87,2002.0,2,1816.8,2021-06-11,3100000,0.0,3100000,3,2,2021-04-13,59,Meglerhuset Nylander,7088,HEIMDAL,103,7,7,1,0,63.3561,10.348
951497762/80,"Karolinerveien 10 C, 7021 TRONDHEIM",Borettslagsleilighet,32,32,35,1967.0,2,8290.8,2021-06-11,2050000,141792.0,2191792,1,1,2021-05-18,24,Heimdal Eiendomsmegling,7021,TRONDHEIM,103,4,3,0,0,63.4105,10.3646
5001-57/213/0/0,"Dr. Sands veg 24, 7052 TRONDHEIM",Selveier enebolig,195,229,254,1959.0,0,1013.6,2021-06-11,10500000,0.0,10500000,5,4,2021-06-03,8,DNB Eiendom,7052,TRONDHEIM,103,1,4,0,0,63.4225,10.4239
951497762/80,"Karolinerveien 10 C, 7021 TRONDHEIM",Borettslagsleilighet,32,32,35,1967.0,2,8290.8,2021-06-11,2050000,141792.0,2191792,1,1,2021-05-18,24,Heimdal Eiendomsmegling,7021,TRONDHEIM,103,4,3,0,0,63.4105,10.3646
931928481/6,"Starrmyra 11, 7091 TILLER",Borettslag rekkehus,76,82,90,1984.0,0,44016.5,2021-06-11,3400000,157784.0,3557784,3,2,2021-06-03,8,Privatmegleren,7091,TILLER,103,9,1,0,1,63.3619,10.3898
846722092/4503,"Marie Sørdals veg 9 B, 7036 TRONDHEIM",Borettslagsleilighet,112,112,122,1973.0,2,94296.0,2021-06-11,3450000,150187.0,3600187,4,3,2021-06-03,8,Proaktiv,7036,TRONDHEIM,103,10,3,0,0,63.3909,10.4281
5001-72/50/0/2,"Ole Tilseths veg 1, 7037 TRONDHEIM",Selveier tomannsbolig,68,68,75,1956.0,2,1299.0,2021-06-11,3200000,0.0,3200000,3,2,2021-05-25,17,Proaktiv,7037,TRONDHEIM,103,10,6,1,0,63.3941,10.4113
5001-96/625/0/16,"Gjørtlervegen 1 A, 7021 TRONDHEIM",Selveierleilighet,40,40,40,2007.0,1,6752.1,2021-06-11,2680000,9848.0,2689848,3,1,2021-06-03,8,Eiendomsmegler 1,7021,TRONDHEIM,103,3,7,1,0,63.4105,10.3646
5001-72/115/0/1,"Klæbuveien 181 A, 7031 TRONDHEIM",Selveierleilighet,0,106,106,1966.0,1,1200.8,2021-06-11,3000000,0.0,3000000,3,2,2021-06-11,0,Other,7031,TRONDHEIM,103,8,7,0,0,63.4068,10.401
5001-90/77/0/0,"Neptunvegen 32, 7036 TRONDHEIM",Selveier tomannsbolig,149,161,176,1970.0,0,485.1,2021-06-11,4200000,0.0,4200000,4,3,2021-06-03,8,DNB Eiendom,7036,TRONDHEIM,103,1,6,0,0,63.3909,10.4281
5001-421/296/0/4,"Arilds gate 5, 7017 TRONDHEIM",Selveierleilighet,135,135,135,1897.0,2,1089.4,2021-06-11,5490000,0.0,5490000,3,2,2021-06-01,10,Eiendomsmegler 1,7017,TRONDHEIM,103,3,7,0,0,63.4255,10.3705
5001-401/145/0/14,"Fjordgata 29, 7010 TRONDHEIM",Selveierleilighet,81,84,84,1931.0,5,558.4,2021-06-12,4300000,55425.0,4355425,4,3,2021-06-04,8,Eiendomsmegler 1,7010,TRONDHEIM,104,3,7,1,0,63.435,10.3997
5001-101/81/0/0,"Dvergstien 12, 7028 TRONDHEIM",Selveier tomannsbolig,92,119,129,1953.0,0,668.2,2021-06-12,2720000,0.0,2720000,4,3,2021-05-21,22,Meglerhuset Nylander,7028,TRONDHEIM,104,7,6,0,0,63.388,10.3732
5001-415/235/0/80,"Stjørdalsveien 15, 7066 TRONDHEIM",Selveierleilighet,44,44,48,2018.0,5,936.9,2021-06-12,3350000,0.0,3350000,3,2,2021-05-01,42,Proaktiv,7066,TRONDHEIM,104,10,7,1,0,63.442,10.4367
